Count,Pixels,Quality,Faces,Eyes,People,Objects,Open_Eyes,Emotions,Dominent_Emotion,Emotion_Score,Face_Area_Ratio,Mid_Diag_Ratio,Eye_Area_Ratio
1000,"[[[164 180 192]
  [164 180 192]
  [164 180 192]
  ...
  [ 95 138 123]
  [ 93 137 120]
  [ 92 136 119]]

 [[164 180 192]
  [164 180 192]
  [164 180 192]
  ...
  [ 86 129 114]
  [ 84 128 111]
  [ 83 127 110]]

 [[163 179 191]
  [163 179 191]
  [163 179 191]
  ...
  [ 75 120 104]
  [ 73 118 101]
  [ 72 117 100]]

 ...

 [[207 207 123]
  [206 206 122]
  [205 205 121]
  ...
  [132  79  88]
  [132  79  88]
  [132  79  88]]

 [[207 207 123]
  [206 206 122]
  [205 205 121]
  ...
  [132  79  88]
  [132  79  88]
  [132  79  88]]

 [[207 207 123]
  [206 206 122]
  [205 205 121]
  ...
  [132  79  88]
  [132  79  88]
  [132  79  88]]]",52.30732977071236,7,0,9,1,1,"[{'box': [3509, 551, 297, 415], 'emotions': {'angry': 0.64, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.0, 'sad': 0.19, 'surprise': 0.01, 'neutral': 0.08}}, {'box': [1389, 482, 722, 935], 'emotions': {'angry': 0.31, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.01, 'sad': 0.31, 'surprise': 0.0, 'neutral': 0.34}}, {'box': [2856, 780, 373, 471], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.99, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [418, 902, 329, 449], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.98, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.02}}, {'box': [2513, 1023, 138, 162], 'emotions': {'angry': 0.05, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.0, 'sad': 0.17, 'surprise': 0.04, 'neutral': 0.72}}, {'box': [745, 794, 176, 246], 'emotions': {'angry': 0.06, 'disgust': 0.07, 'fear': 0.02, 'happy': 0.22, 'sad': 0.01, 'surprise': 0.01, 'neutral': 0.6}}, {'box': [4108, 1081, 101, 143], 'emotions': {'angry': 0.04, 'disgust': 0.0, 'fear': 0.11, 'happy': 0.0, 'sad': 0.75, 'surprise': 0.0, 'neutral': 0.1}}, {'box': [3676, 894, 155, 193], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.98, 'sad': 0.0, 'surprise': 0.01, 'neutral': 0.01}}, {'box': [2647, 1070, 56, 64], 'emotions': {'angry': 0.3, 'disgust': 0.02, 'fear': 0.3, 'happy': 0.0, 'sad': 0.35, 'surprise': 0.0, 'neutral': 0.03}}, {'box': [4465, 993, 240, 299], 'emotions': {'angry': 0.04, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.11, 'sad': 0.2, 'surprise': 0.01, 'neutral': 0.6}}, {'box': [2271, 1063, 71, 89], 'emotions': {'angry': 0.04, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.01, 'sad': 0.07, 'surprise': 0.0, 'neutral': 0.88}}, {'box': [4262, 1103, 141, 188], 'emotions': {'angry': 0.56, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.01, 'sad': 0.26, 'surprise': 0.0, 'neutral': 0.12}}, {'box': [2695, 1121, 92, 126], 'emotions': {'angry': 0.04, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.28, 'sad': 0.3, 'surprise': 0.0, 'neutral': 0.37}}, {'box': [695, 1104, 172, 211], 'emotions': {'angry': 0.04, 'disgust': 0.0, 'fear': 0.2, 'happy': 0.04, 'sad': 0.42, 'surprise': 0.01, 'neutral': 0.29}}, {'box': [2756, 660, 26, 30], 'emotions': {'angry': 0.16, 'disgust': 0.01, 'fear': 0.2, 'happy': 0.11, 'sad': 0.51, 'surprise': 0.01, 'neutral': 0.01}}, {'box': [2946, 641, 27, 30], 'emotions': {'angry': 0.12, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.01, 'sad': 0.71, 'surprise': 0.0, 'neutral': 0.08}}, {'box': [2205, 1091, 60, 75], 'emotions': {'angry': 0.08, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.0, 'sad': 0.81, 'surprise': 0.0, 'neutral': 0.05}}, {'box': [3711, 1553, 44, 60], 'emotions': {'angry': 0.44, 'disgust': 0.0, 'fear': 0.21, 'happy': 0.2, 'sad': 0.09, 'surprise': 0.04, 'neutral': 0.02}}, {'box': [616, 2015, 81, 94], 'emotions': {'angry': 0.19, 'disgust': 0.01, 'fear': 0.09, 'happy': 0.29, 'sad': 0.35, 'surprise': 0.01, 'neutral': 0.07}}, {'box': [3946, 1072, 82, 99], 'emotions': {'angry': 0.24, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.1, 'sad': 0.55, 'surprise': 0.01, 'neutral': 0.04}}, {'box': [2430, 1257, 28, 33], 'emotions': {'angry': 0.16, 'disgust': 0.0, 'fear': 0.15, 'happy': 0.03, 'sad': 0.61, 'surprise': 0.01, 'neutral': 0.04}}, {'box': [4041, 1826, 54, 66], 'emotions': {'angry': 0.18, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.21, 'sad': 0.13, 'surprise': 0.0, 'neutral': 0.45}}, {'box': [2403, 941, 176, 211], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.78, 'sad': 0.09, 'surprise': 0.05, 'neutral': 0.08}}, {'box': [1137, 851, 52, 63], 'emotions': {'angry': 0.06, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.67, 'sad': 0.16, 'surprise': 0.0, 'neutral': 0.09}}, {'box': [2398, 1348, 133, 151], 'emotions': {'angry': 0.06, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.28, 'sad': 0.48, 'surprise': 0.01, 'neutral': 0.05}}, {'box': [397, 1960, 28, 35], 'emotions': {'angry': 0.21, 'disgust': 0.04, 'fear': 0.25, 'happy': 0.09, 'sad': 0.37, 'surprise': 0.03, 'neutral': 0.01}}]",angry,0.64,0.039486364592898685,0.14275415668024483,nan
1001,"[[[17 17 17]
  [17 17 17]
  [17 17 17]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[17 17 17]
  [17 17 17]
  [17 17 17]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[17 17 17]
  [17 17 17]
  [17 17 17]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 ...

 [[29 30 44]
  [29 30 44]
  [29 30 44]
  ...
  [52 50 72]
  [52 50 72]
  [52 50 72]]

 [[29 30 44]
  [29 30 44]
  [29 30 44]
  ...
  [52 50 72]
  [52 50 72]
  [52 50 72]]

 [[29 30 44]
  [29 30 44]
  [29 30 44]
  ...
  [52 50 72]
  [52 50 72]
  [52 50 72]]]",82.12562237693825,1,1,3,0,1,"[{'box': [2464, 787, 768, 1078], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.42, 'sad': 0.21, 'surprise': 0.01, 'neutral': 0.35}}, {'box': [4380, 793, 398, 540], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.74, 'sad': 0.09, 'surprise': 0.0, 'neutral': 0.15}}, {'box': [3456, 665, 339, 526], 'emotions': {'angry': 0.21, 'disgust': 0.03, 'fear': 0.19, 'happy': 0.06, 'sad': 0.38, 'surprise': 0.03, 'neutral': 0.11}}, {'box': [2806, 2075, 29, 35], 'emotions': {'angry': 0.17, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.46, 'sad': 0.22, 'surprise': 0.01, 'neutral': 0.03}}, {'box': [2157, 492, 204, 269], 'emotions': {'angry': 0.61, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.02, 'sad': 0.21, 'surprise': 0.11, 'neutral': 0.04}}]",happy,0.42,0.03526666666666667,0.09621470381791564,0.7490115702479339
1002,"[[[  5  21  33]
  [  5  21  33]
  [  5  21  33]
  ...
  [  8  20  26]
  [  8  20  26]
  [  8  20  26]]

 [[  5  21  33]
  [  5  21  33]
  [  5  21  33]
  ...
  [  8  20  26]
  [  8  20  26]
  [  8  20  26]]

 [[  5  21  33]
  [  5  21  33]
  [  5  21  33]
  ...
  [  8  20  26]
  [  8  20  26]
  [  8  20  26]]

 ...

 [[118  65  32]
  [114  61  28]
  [111  58  25]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[124  71  38]
  [124  71  38]
  [122  69  36]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[124  71  38]
  [124  71  38]
  [122  69  36]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]",54.633767997928516,1,0,1,0,1,"[{'box': [599, 581, 580, 787], 'emotions': {'angry': 0.03, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.91, 'sad': 0.02, 'surprise': 0.02, 'neutral': 0.01}}]",happy,0.91,0.08235704904379024,0.11222509039901828,nan
1003,"[[[111  55  30]
  [111  55  30]
  [111  55  30]
  ...
  [ 97  41  16]
  [ 97  41  16]
  [ 97  41  16]]

 [[111  55  30]
  [111  55  30]
  [111  55  30]
  ...
  [ 97  41  16]
  [ 97  41  16]
  [ 97  41  16]]

 [[111  55  30]
  [111  55  30]
  [111  55  30]
  ...
  [ 97  41  16]
  [ 97  41  16]
  [ 97  41  16]]

 ...

 [[ 70  49  47]
  [ 71  50  48]
  [ 73  52  50]
  ...
  [ 97  52  18]
  [ 97  52  18]
  [ 97  52  18]]

 [[ 70  49  47]
  [ 71  50  48]
  [ 73  52  50]
  ...
  [ 97  52  18]
  [ 97  52  18]
  [ 97  52  18]]

 [[ 70  49  47]
  [ 71  50  48]
  [ 73  52  50]
  ...
  [ 97  52  18]
  [ 97  52  18]
  [ 97  52  18]]]",92.80865343280934,1,2,1,0,1,"[{'box': [723, 517, 1084, 1578], 'emotions': {'angry': 0.02, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.46, 'sad': 0.03, 'surprise': 0.0, 'neutral': 0.48}}]",neutral,0.48,0.08373495855245565,0.19646468949784454,0.6378175633961957
1004,"[[[226 228 222]
  [226 228 222]
  [226 228 222]
  ...
  [236 236 236]
  [236 236 236]
  [236 236 236]]

 [[226 228 222]
  [226 228 222]
  [226 228 222]
  ...
  [236 236 236]
  [236 236 236]
  [236 236 236]]

 [[226 228 222]
  [226 228 222]
  [226 228 222]
  ...
  [236 236 236]
  [236 236 236]
  [236 236 236]]

 ...

 [[154 118  48]
  [140 104  34]
  [127  88  19]
  ...
  [102  70  41]
  [102  70  41]
  [102  70  41]]

 [[168 132  62]
  [149 113  43]
  [133  95  23]
  ...
  [101  69  40]
  [101  69  40]
  [101  69  40]]

 [[174 138  68]
  [154 118  48]
  [135  97  25]
  ...
  [101  69  40]
  [101  69  40]
  [101  69  40]]]",64.85078271734037,2,1,2,0,1,"[{'box': [291, 877, 596, 812], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.98, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [1357, 922, 482, 672], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.99, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [2315, 1658, 74, 103], 'emotions': {'angry': 0.16, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.03, 'sad': 0.54, 'surprise': 0.01, 'neutral': 0.18}}, {'box': [715, 787, 23, 27], 'emotions': {'angry': 0.21, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.03, 'sad': 0.57, 'surprise': 0.0, 'neutral': 0.08}}]",happy,0.98,0.07175016622340426,0.25754438863936,0.16524555489457335
1006,"[[[37 19 50]
  [37 19 50]
  [37 19 50]
  ...
  [30 30 30]
  [30 30 30]
  [30 30 30]]

 [[37 19 50]
  [37 19 50]
  [37 19 50]
  ...
  [26 26 26]
  [26 26 26]
  [26 26 26]]

 [[37 19 50]
  [37 19 50]
  [37 19 50]
  ...
  [23 23 23]
  [23 23 23]
  [23 23 23]]

 ...

 [[12 15 23]
  [12 15 23]
  [12 15 23]
  ...
  [18 21 29]
  [18 21 29]
  [18 21 29]]

 [[12 15 23]
  [12 15 23]
  [12 15 23]
  ...
  [16 19 27]
  [18 21 29]
  [21 24 32]]

 [[12 15 23]
  [12 15 23]
  [12 15 23]
  ...
  [16 19 27]
  [18 21 29]
  [21 24 32]]]",71.67698885675381,1,2,3,0,1,"[{'box': [1863, 669, 597, 734], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.36, 'sad': 0.03, 'surprise': 0.25, 'neutral': 0.26}}, {'box': [4059, 696, 574, 780], 'emotions': {'angry': 0.06, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.02, 'sad': 0.28, 'surprise': 0.01, 'neutral': 0.6}}, {'box': [4214, 1918, 38, 43], 'emotions': {'angry': 0.14, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.02, 'sad': 0.78, 'surprise': 0.0, 'neutral': 0.03}}, {'box': [3759, 3130, 147, 192], 'emotions': {'angry': 0.06, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.14, 'sad': 0.62, 'surprise': 0.0, 'neutral': 0.18}}]",happy,0.36,0.030477564651738825,0.12473278598913055,0.9906760415756835
1007,"[[[ 55  65  59]
  [ 58  68  62]
  [ 65  72  67]
  ...
  [104 105 119]
  [101 102 116]
  [100 101 115]]

 [[ 54  64  58]
  [ 57  67  61]
  [ 62  69  64]
  ...
  [106 107 121]
  [104 105 119]
  [103 104 118]]

 [[ 52  61  58]
  [ 54  63  60]
  [ 57  66  63]
  ...
  [109 110 124]
  [109 110 124]
  [109 110 124]]

 ...

 [[ 22  23  19]
  [ 24  25  21]
  [ 28  29  27]
  ...
  [ 31  22  48]
  [ 30  25  52]
  [ 31  28  54]]

 [[ 20  21  17]
  [ 23  24  20]
  [ 27  28  26]
  ...
  [ 34  25  52]
  [ 33  28  57]
  [ 34  30  59]]

 [[ 18  19  15]
  [ 22  23  19]
  [ 27  28  26]
  ...
  [ 35  26  53]
  [ 35  30  59]
  [ 36  32  61]]]",51.91601063047537,2,1,2,0,1,"[{'box': [1915, 8, 740, 896], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.99, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [1275, 939, 785, 1010], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [2367, 2406, 32, 43], 'emotions': {'angry': 0.12, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.35, 'sad': 0.24, 'surprise': 0.0, 'neutral': 0.19}}, {'box': [3098, 1321, 15, 18], 'emotions': {'angry': 0.14, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.24, 'sad': 0.53, 'surprise': 0.0, 'neutral': 0.04}}, {'box': [2570, 1740, 25, 28], 'emotions': {'angry': 0.47, 'disgust': 0.0, 'fear': 0.11, 'happy': 0.08, 'sad': 0.25, 'surprise': 0.0, 'neutral': 0.09}}, {'box': [3039, 2107, 27, 35], 'emotions': {'angry': 0.25, 'disgust': 0.0, 'fear': 0.16, 'happy': 0.01, 'sad': 0.34, 'surprise': 0.02, 'neutral': 0.22}}, {'box': [3189, 1571, 19, 26], 'emotions': {'angry': 0.09, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.67, 'sad': 0.17, 'surprise': 0.0, 'neutral': 0.06}}]",happy,0.99,0.12117935409457901,0.06398232557034977,0.46003780718336484
1011,"[[[ 70  86  98]
  [ 70  86  98]
  [ 70  86  98]
  ...
  [ 22  25  33]
  [ 22  25  33]
  [ 22  25  33]]

 [[ 70  86  98]
  [ 70  86  98]
  [ 70  86  98]
  ...
  [ 22  25  33]
  [ 22  25  33]
  [ 22  25  33]]

 [[ 70  86  98]
  [ 70  86  98]
  [ 70  86  98]
  ...
  [ 22  25  33]
  [ 22  25  33]
  [ 22  25  33]]

 ...

 [[ 98  92  87]
  [100  94  89]
  [102  96  91]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 [[ 98  92  87]
  [100  94  89]
  [102  96  91]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 [[ 98  92  87]
  [100  94  89]
  [102  96  91]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]]",84.78323648321745,1,5,1,0,1,"[{'box': [1547, 388, 1016, 1321], 'emotions': {'angry': 0.02, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.01, 'sad': 0.19, 'surprise': 0.01, 'neutral': 0.72}}]",neutral,0.72,0.0858655349428031,0.2631948558604821,0.7986606553045317
1012,"[[[ 81 174 145]
  [ 81 174 145]
  [ 81 174 145]
  ...
  [  4  28  18]
  [  5  29  19]
  [  5  29  19]]

 [[ 82 175 146]
  [ 82 175 146]
  [ 82 175 146]
  ...
  [  4  28  18]
  [  5  29  19]
  [  5  29  19]]

 [[ 84 177 148]
  [ 84 177 148]
  [ 84 177 148]
  ...
  [  4  28  18]
  [  5  29  19]
  [  5  29  19]]

 ...

 [[ 12  15  23]
  [ 12  15  23]
  [ 12  15  23]
  ...
  [  0  16  28]
  [  0  15  27]
  [  0  15  27]]

 [[ 12  15  23]
  [ 12  15  23]
  [ 12  15  23]
  ...
  [  0  16  28]
  [  0  15  27]
  [  0  15  27]]

 [[ 12  15  23]
  [ 12  15  23]
  [ 12  15  23]
  ...
  [  0  16  28]
  [  0  15  27]
  [  0  15  27]]]",81.04340872639497,1,3,1,1,1,"[{'box': [1138, 733, 598, 834], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [537, 2587, 1029, 1046], 'emotions': {'angry': 0.23, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.01, 'sad': 0.42, 'surprise': 0.06, 'neutral': 0.22}}]",happy,1.0,0.03424631686994324,0.19468076407801554,0.8594835069444444
1014,"[[[ 91  91  67]
  [ 91  91  67]
  [ 91  91  67]
  ...
  [ 11  20  33]
  [ 11  20  33]
  [ 11  20  33]]

 [[ 91  91  67]
  [ 91  91  67]
  [ 91  91  67]
  ...
  [ 11  20  33]
  [ 11  20  33]
  [ 11  20  33]]

 [[ 90  89  68]
  [ 90  89  68]
  [ 90  89  68]
  ...
  [ 11  20  33]
  [ 11  20  33]
  [ 11  20  33]]

 ...

 [[150 153 161]
  [150 153 161]
  [150 153 161]
  ...
  [ 42  63 101]
  [ 42  63 101]
  [ 42  63 101]]

 [[150 153 161]
  [150 153 161]
  [150 153 161]
  ...
  [ 41  62 100]
  [ 41  62 100]
  [ 41  62 100]]

 [[150 153 161]
  [150 153 161]
  [150 153 161]
  ...
  [ 41  62 100]
  [ 41  62 100]
  [ 41  62 100]]]",66.66728468039057,2,2,3,0,1,"[{'box': [1195, 1380, 718, 998], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [4060, 1041, 672, 916], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [2642, 682, 662, 904], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.97, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.02}}]",happy,1.0,0.03343822337962963,0.19135684485793825,0.8642458523774652
