Count,Pixels,Quality,Faces,Eyes,People,Objects,Open_Eyes,Emotions,Dominent_Emotion,Emotion_Score,Face_Area_Ratio,Mid_Diag_Ratio,Eye_Area_Ratio
0,"[[[163 141   0]
  [164 142   0]
  [165 143   1]
  ...
  [218 184   0]
  [218 184   0]
  [218 184   0]]

 [[163 141   0]
  [164 142   0]
  [165 143   1]
  ...
  [219 185   0]
  [219 185   0]
  [219 185   0]]

 [[163 141   0]
  [164 142   0]
  [165 143   1]
  ...
  [220 186   0]
  [220 186   0]
  [220 186   0]]

 ...

 [[111  91   4]
  [111  91   4]
  [111  91   4]
  ...
  [ 87 106  89]
  [ 88 107  90]
  [ 89 108  91]]

 [[111  91   4]
  [111  91   4]
  [111  91   4]
  ...
  [ 87 106  89]
  [ 88 107  90]
  [ 89 108  91]]

 [[111  91   4]
  [111  91   4]
  [111  91   4]
  ...
  [ 87 106  89]
  [ 88 107  90]
  [ 89 108  91]]]",52.66395061617342,1,3,1,0,1,"[{'box': [669, 382, 651, 783], 'emotions': {'angry': 0.02, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.0, 'sad': 0.18, 'surprise': 0.06, 'neutral': 0.72}}]",neutral,0.72,0.2460330582850424,0.013979297582387726,0.8759894124947759
1,"[[[  2  21  26]
  [  2  21  26]
  [  2  21  26]
  ...
  [  2   5  13]
  [  2   5  13]
  [  2   5  13]]

 [[  2  21  26]
  [  2  21  26]
  [  2  21  26]
  ...
  [  2   5  13]
  [  2   5  13]
  [  2   5  13]]

 [[  2  21  26]
  [  2  21  26]
  [  2  21  26]
  ...
  [  2   5  13]
  [  2   5  13]
  [  2   5  13]]

 ...

 [[ 71 106 170]
  [ 71 106 170]
  [ 71 106 170]
  ...
  [ 58  84 150]
  [ 58  84 150]
  [ 58  84 150]]

 [[ 71 106 170]
  [ 71 106 170]
  [ 71 106 170]
  ...
  [ 58  84 150]
  [ 58  84 150]
  [ 58  84 150]]

 [[ 71 106 170]
  [ 71 106 170]
  [ 71 106 170]
  ...
  [ 58  84 150]
  [ 58  84 150]
  [ 58  84 150]]]",61.7205295112428,1,2,1,0,1,"[{'box': [548, 571, 886, 1270], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}]",happy,1.0,0.1437842600630144,0.12696937503293754,0.9415577420281528
2,"[[[101 106 105]
  [101 106 105]
  [102 107 106]
  ...
  [ 74  70  59]
  [ 71  66  57]
  [ 69  64  55]]

 [[101 106 105]
  [102 107 106]
  [102 107 106]
  ...
  [ 73  69  58]
  [ 70  65  56]
  [ 68  63  54]]

 [[104 106 106]
  [105 107 107]
  [105 107 107]
  ...
  [ 73  69  58]
  [ 69  64  55]
  [ 67  62  53]]

 ...

 [[  7   7   7]
  [  7   7   7]
  [  7   7   7]
  ...
  [180 194 192]
  [180 194 192]
  [180 194 192]]

 [[  7   7   7]
  [  7   7   7]
  [  7   7   7]
  ...
  [180 194 192]
  [180 194 192]
  [180 194 192]]

 [[  7   7   7]
  [  7   7   7]
  [  7   7   7]
  ...
  [180 194 192]
  [180 194 192]
  [180 194 192]]]",84.41272684914892,1,3,5,1,1,"[{'box': [4424, 1205, 1104, 1416], 'emotions': {'angry': 0.13, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.0, 'sad': 0.57, 'surprise': 0.0, 'neutral': 0.28}}, {'box': [4993, 3324, 35, 48], 'emotions': {'angry': 0.26, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.12, 'sad': 0.45, 'surprise': 0.01, 'neutral': 0.04}}]",sad,0.57,0.06125651041666667,0.21287485550473476,0.9126119659186667
3,"[[[154 170 182]
  [154 170 182]
  [154 170 182]
  ...
  [170 179 192]
  [170 179 192]
  [170 179 192]]

 [[154 170 182]
  [154 170 182]
  [154 170 182]
  ...
  [170 179 192]
  [170 179 192]
  [170 179 192]]

 [[154 170 182]
  [154 170 182]
  [154 170 182]
  ...
  [170 179 192]
  [170 179 192]
  [170 179 192]]

 ...

 [[123 145 163]
  [123 145 163]
  [123 145 163]
  ...
  [133 155 173]
  [133 155 173]
  [133 155 173]]

 [[123 145 163]
  [123 145 163]
  [123 145 163]
  ...
  [133 155 173]
  [133 155 173]
  [133 155 173]]

 [[123 145 163]
  [123 145 163]
  [123 145 163]
  ...
  [133 155 173]
  [133 155 173]
  [133 155 173]]]",83.32320660223874,1,3,1,0,1,"[{'box': [1527, 549, 835, 1054], 'emotions': {'angry': 0.02, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.0, 'surprise': 0.51, 'neutral': 0.46}}]",surprise,0.51,0.1367522244636267,0.05138413043877965,0.831744
4,"[[[248 254 253]
  [248 254 253]
  [248 254 253]
  ...
  [203 197 192]
  [200 194 189]
  [199 193 188]]

 [[248 254 253]
  [248 254 253]
  [248 254 253]
  ...
  [204 198 193]
  [201 195 190]
  [200 194 189]]

 [[248 254 253]
  [248 254 253]
  [248 254 253]
  ...
  [205 199 194]
  [202 196 191]
  [201 195 190]]

 ...

 [[127  73 194]
  [127  73 194]
  [127  73 194]
  ...
  [150 159 172]
  [150 159 172]
  [150 159 172]]

 [[127  73 194]
  [127  73 194]
  [127  73 194]
  ...
  [150 159 172]
  [150 159 172]
  [150 159 172]]

 [[127  73 194]
  [127  73 194]
  [127  73 194]
  ...
  [150 159 172]
  [150 159 172]
  [150 159 172]]]",66.81899758133179,1,4,1,0,1,"[{'box': [1141, 721, 1684, 2466], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.36, 'sad': 0.03, 'surprise': 0.02, 'neutral': 0.55}}, {'box': [2986, 5682, 151, 191], 'emotions': {'angry': 0.24, 'disgust': 0.0, 'fear': 0.16, 'happy': 0.15, 'sad': 0.28, 'surprise': 0.03, 'neutral': 0.14}}]",neutral,0.55,0.16707138540789954,0.1427439940367205,0.9569943289224953
6,"[[[209 194 155]
  [210 195 156]
  [211 196 157]
  ...
  [ 12  13  11]
  [ 12  12  12]
  [ 12  12  12]]

 [[214 199 160]
  [214 199 160]
  [216 201 162]
  ...
  [ 13  14  12]
  [ 12  12  12]
  [ 12  12  12]]

 [[218 203 164]
  [219 204 165]
  [220 205 166]
  ...
  [ 13  13  13]
  [ 14  13  15]
  [ 14  13  15]]

 ...

 [[153 151 151]
  [157 155 154]
  [161 159 159]
  ...
  [  9  10   8]
  [ 11   9   8]
  [  9  10   8]]

 [[159 146 154]
  [164 152 158]
  [167 154 162]
  ...
  [  9  19   7]
  [ 10  18   7]
  [  9  19   7]]

 [[160 143 154]
  [165 148 159]
  [169 152 163]
  ...
  [ 12  25   9]
  [ 12  25   9]
  [ 12  25   9]]]",71.17700047048751,1,2,1,0,1,"[{'box': [1995, 344, 1014, 1277], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.94, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.04}}]",happy,0.94,0.10659757314569389,0.14974346082484047,0.894258034026465
7,"[[[160 204 113]
  [159 203 112]
  [158 202 111]
  ...
  [144 182 152]
  [145 188 145]
  [144 191 142]]

 [[160 204 113]
  [159 203 112]
  [158 202 111]
  ...
  [139 180 143]
  [140 185 136]
  [138 187 131]]

 [[160 204 113]
  [159 203 112]
  [158 202 111]
  ...
  [132 176 129]
  [131 179 120]
  [129 182 115]]

 ...

 [[144 187 244]
  [145 188 245]
  [145 188 245]
  ...
  [129 181 251]
  [129 181 251]
  [129 181 251]]

 [[144 187 244]
  [145 188 245]
  [145 188 245]
  ...
  [129 181 251]
  [129 181 251]
  [129 181 251]]

 [[144 187 244]
  [145 188 245]
  [145 188 245]
  ...
  [129 181 251]
  [129 181 251]
  [129 181 251]]]",45.23821854950583,2,3,7,0,1,"[{'box': [3167, 590, 601, 802], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.31, 'sad': 0.01, 'surprise': 0.01, 'neutral': 0.67}}, {'box': [566, 689, 688, 845], 'emotions': {'angry': 0.02, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.66, 'sad': 0.01, 'surprise': 0.0, 'neutral': 0.29}}, {'box': [2533, 1240, 755, 929], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.79, 'sad': 0.02, 'surprise': 0.0, 'neutral': 0.18}}, {'box': [2201, 171, 500, 579], 'emotions': {'angry': 0.02, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.01, 'sad': 0.02, 'surprise': 0.0, 'neutral': 0.94}}, {'box': [1322, 203, 393, 519], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.39, 'sad': 0.0, 'surprise': 0.38, 'neutral': 0.23}}, {'box': [3289, 0, 507, 477], 'emotions': {'angry': 0.01, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.28, 'sad': 0.44, 'surprise': 0.0, 'neutral': 0.25}}, {'box': [3892, 173, 747, 797], 'emotions': {'angry': 0.03, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.67, 'sad': 0.04, 'surprise': 0.03, 'neutral': 0.21}}, {'box': [4241, 1246, 40, 52], 'emotions': {'angry': 0.24, 'disgust': 0.0, 'fear': 0.16, 'happy': 0.06, 'sad': 0.39, 'surprise': 0.0, 'neutral': 0.15}}, {'box': [4005, 2338, 28, 37], 'emotions': {'angry': 0.35, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.2, 'sad': 0.23, 'surprise': 0.0, 'neutral': 0.13}}, {'box': [3876, 2191, 47, 57], 'emotions': {'angry': 0.35, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.25, 'sad': 0.22, 'surprise': 0.02, 'neutral': 0.12}}, {'box': [1501, 865, 130, 149], 'emotions': {'angry': 0.16, 'disgust': 0.0, 'fear': 0.25, 'happy': 0.16, 'sad': 0.41, 'surprise': 0.0, 'neutral': 0.03}}]",neutral,0.67,0.0356675143667665,0.2956534678488892,0.8018388429752066
8,"[[[169 197 214]
  [169 197 214]
  [169 197 214]
  ...
  [ 94 123 160]
  [ 94 123 160]
  [ 94 123 160]]

 [[169 197 214]
  [169 197 214]
  [169 197 214]
  ...
  [ 94 123 160]
  [ 94 123 160]
  [ 94 123 160]]

 [[169 197 214]
  [169 197 214]
  [169 197 214]
  ...
  [ 94 123 160]
  [ 94 123 160]
  [ 94 123 160]]

 ...

 [[  8  15  35]
  [  7  14  34]
  [  6  13  33]
  ...
  [ 11  35  95]
  [ 11  34  96]
  [ 11  34  96]]

 [[  8  15  35]
  [  7  14  34]
  [  6  13  33]
  ...
  [  9  36  93]
  [  9  35  95]
  [  9  35  95]]

 [[  8  15  35]
  [  7  14  34]
  [  6  13  33]
  ...
  [  9  36  93]
  [  9  35  95]
  [  9  35  95]]]",75.617999055936,1,2,1,6,1,"[{'box': [1750, 2215, 671, 928], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.8, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.2}}, {'box': [1017, 2117, 663, 832], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.79, 'sad': 0.02, 'surprise': 0.04, 'neutral': 0.07}}, {'box': [3263, 4646, 115, 132], 'emotions': {'angry': 0.13, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.47, 'sad': 0.3, 'surprise': 0.0, 'neutral': 0.03}}]",happy,0.8,0.026255161154333163,0.03191418877936092,0.9710858704873221
10,"[[[ 25 104  71]
  [ 21 100  67]
  [ 15  94  61]
  ...
  [ 22  36  55]
  [ 22  36  55]
  [ 22  36  55]]

 [[ 26 102  70]
  [ 22  98  66]
  [ 16  92  60]
  ...
  [ 22  36  55]
  [ 22  36  55]
  [ 22  36  55]]

 [[ 25  98  66]
  [ 22  95  63]
  [ 20  90  59]
  ...
  [ 22  36  55]
  [ 22  36  55]
  [ 22  36  55]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  38  46]
  [ 35  38  46]
  [ 35  38  46]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  38  46]
  [ 35  38  46]
  [ 35  38  46]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  38  46]
  [ 35  38  46]
  [ 35  38  46]]]",64.30681549846449,6,3,8,0,1,"[{'box': [1602, 212, 358, 431], 'emotions': {'angry': 0.58, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.05, 'sad': 0.22, 'surprise': 0.0, 'neutral': 0.08}}, {'box': [630, 388, 101, 150], 'emotions': {'angry': 0.32, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.08, 'sad': 0.13, 'surprise': 0.02, 'neutral': 0.41}}, {'box': [3286, 2812, 571, 748], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.59, 'sad': 0.03, 'surprise': 0.0, 'neutral': 0.37}}, {'box': [4002, 1186, 388, 505], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.0, 'sad': 0.24, 'surprise': 0.0, 'neutral': 0.75}}, {'box': [3233, 243, 321, 403], 'emotions': {'angry': 0.12, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.0, 'sad': 0.79, 'surprise': 0.01, 'neutral': 0.01}}, {'box': [4608, 108, 278, 384], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.08, 'sad': 0.03, 'surprise': 0.0, 'neutral': 0.88}}, {'box': [1492, 1398, 345, 458], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.45, 'surprise': 0.0, 'neutral': 0.54}}, {'box': [2481, 1267, 30, 38], 'emotions': {'angry': 0.41, 'disgust': 0.08, 'fear': 0.23, 'happy': 0.09, 'sad': 0.09, 'surprise': 0.09, 'neutral': 0.01}}, {'box': [1379, 2835, 289, 491], 'emotions': {'angry': 0.2, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.18, 'sad': 0.3, 'surprise': 0.02, 'neutral': 0.17}}]",angry,0.58,0.02859190351680991,0.2471110541396923,0.9817355441461156
11,"[[[204 210 209]
  [204 210 209]
  [204 210 209]
  ...
  [204 216 222]
  [204 216 222]
  [204 216 222]]

 [[204 210 209]
  [204 210 209]
  [204 210 209]
  ...
  [204 216 222]
  [204 216 222]
  [204 216 222]]

 [[204 210 209]
  [204 210 209]
  [204 210 209]
  ...
  [204 216 222]
  [204 216 222]
  [204 216 222]]

 ...

 [[ 15  21  20]
  [ 15  21  20]
  [ 15  21  20]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 [[ 15  21  20]
  [ 15  21  20]
  [ 15  21  20]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]

 [[ 15  21  20]
  [ 15  21  20]
  [ 15  21  20]
  ...
  [ 13  13  13]
  [ 13  13  13]
  [ 13  13  13]]]",76.04023445194636,3,2,10,0,1,"[{'box': [2088, 973, 672, 825], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.97, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.03}}, {'box': [3265, 1022, 554, 712], 'emotions': {'angry': 0.18, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.79, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.01}}, {'box': [4012, 1263, 705, 894], 'emotions': {'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}}, {'box': [514, 735, 389, 505], 'emotions': {'angry': 0.06, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.64, 'sad': 0.04, 'surprise': 0.02, 'neutral': 0.13}}, {'box': [1120, 967, 433, 587], 'emotions': {'angry': 0.46, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.14, 'sad': 0.22, 'surprise': 0.0, 'neutral': 0.12}}, {'box': [2945, 1223, 229, 330], 'emotions': {'angry': 0.17, 'disgust': 0.0, 'fear': 0.43, 'happy': 0.04, 'sad': 0.25, 'surprise': 0.01, 'neutral': 0.1}}, {'box': [6540, 1242, 183, 277], 'emotions': {'angry': 0.09, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.61, 'sad': 0.2, 'surprise': 0.01, 'neutral': 0.04}}, {'box': [6104, 1078, 398, 491], 'emotions': {'angry': 0.05, 'disgust': 0.0, 'fear': 0.14, 'happy': 0.12, 'sad': 0.37, 'surprise': 0.01, 'neutral': 0.31}}, {'box': [6514, 1080, 126, 160], 'emotions': {'angry': 0.11, 'disgust': 0.01, 'fear': 0.17, 'happy': 0.23, 'sad': 0.35, 'surprise': 0.01, 'neutral': 0.11}}, {'box': [4535, 917, 520, 595], 'emotions': {'angry': 0.09, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.08, 'sad': 0.37, 'surprise': 0.0, 'neutral': 0.39}}, {'box': [1799, 1307, 84, 101], 'emotions': {'angry': 0.3, 'disgust': 0.0, 'fear': 0.4, 'happy': 0.03, 'sad': 0.11, 'surprise': 0.03, 'neutral': 0.12}}]",happy,0.97,0.01903463143069728,0.13234425201905936,0.7859262612544641
